frame,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
242,6.2781,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
243,6.3032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
244,6.3286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
245,6.3533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
246,6.3822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
247,6.4073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
248,6.4320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
249,6.4615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
250,6.4870,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
251,6.5125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
252,6.5413,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
253,6.5671,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
254,6.5927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
255,6.6180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
256,6.6475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
257,6.6720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
258,6.6977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
259,6.7232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
260,6.7525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
261,6.7786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
262,6.8036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
263,6.8292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
264,6.8591,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
265,6.8847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
266,6.9103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
267,6.9404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
268,6.9665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
269,6.9916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
270,7.0172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
271,7.0420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
272,7.0668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
273,7.0922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
274,7.1175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
275,7.1432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
276,7.1732,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
277,7.1984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
278,7.2244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
279,7.2540,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
280,7.2791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
281,7.3050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
282,7.3352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
283,7.3611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
284,7.3912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
285,7.4167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
286,7.4424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
287,7.4681,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
288,7.4937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
289,7.5194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
290,7.5453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
291,7.5709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
292,7.5959,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
293,7.6209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
294,7.6464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
295,7.6729,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
296,7.6984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
297,7.7242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
298,7.7497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
299,7.7751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
300,7.8001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
