frame,wall_time,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
690,1786065120.5380,14.3985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
691,1786065120.5536,14.4141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
692,1786065120.5785,14.4391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
693,1786065120.5952,14.4558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
694,1786065120.6196,14.4802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
695,1786065120.6397,14.5003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
696,1786065120.6706,14.5311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
697,1786065120.6875,14.5481,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
698,1786065120.7005,14.5610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
699,1786065120.7262,14.5868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
700,1786065120.7477,14.6083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
701,1786065120.7707,14.6313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
702,1786065120.7899,14.6504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
703,1786065120.8097,14.6702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
704,1786065120.8331,14.6936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
705,1786065120.8476,14.7082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
706,1786065120.8709,14.7315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
707,1786065120.8913,14.7519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
708,1786065120.9151,14.7757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
709,1786065120.9366,14.7971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
710,1786065120.9568,14.8174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
711,1786065120.9779,14.8384,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
712,1786065120.9978,14.8584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
713,1786065121.0191,14.8797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
714,1786065121.0406,14.9011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
715,1786065121.0577,14.9183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
716,1786065121.0851,14.9457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
717,1786065121.1025,14.9631,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
718,1786065121.1246,14.9852,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
719,1786065121.1443,15.0049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
720,1786065121.1603,15.0209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
721,1786065121.1838,15.0444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
722,1786065121.2092,15.0698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
723,1786065121.2232,15.0838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
724,1786065121.2519,15.1125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
725,1786065121.2656,15.1262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
726,1786065121.2919,15.1525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
727,1786065121.3076,15.1682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
728,1786065121.3302,15.1908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
729,1786065121.3490,15.2095,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
730,1786065121.3685,15.2291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
731,1786065121.3935,15.2541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
732,1786065121.4172,15.2778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
733,1786065121.4361,15.2967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
734,1786065121.4595,15.3201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
735,1786065121.4774,15.3379,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
736,1786065121.4947,15.3553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
737,1786065121.5153,15.3759,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
738,1786065121.5365,15.3971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
739,1786065121.5574,15.4180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
740,1786065121.5772,15.4377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
741,1786065121.5992,15.4598,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
742,1786065121.6204,15.4810,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
743,1786065121.6401,15.5007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
